['01-0001_mask.png', '186', '73', '232', '37']
['01-0094_mask.png', '209', '96', '239', '69']

['01-0095_mask.png', '208', '96', '238', '69']

['01-0096_mask.png', '207', '96', '237', '69']

['01-0097_mask.png', '206', '96', '236', '68']

['01-0098_mask.png', '206', '96', '236', '68']

['01-0099_mask.png', '206', '96', '236', '68']

['01-0100_mask.png', '205', '96', '235', '69']

['01-0101_mask.png', '205', '96', '235', '69']

['01-0102_mask.png', '205', '97', '234', '69']

['01-0103_mask.png', '203', '98', '232', '71']

['01-0104_mask.png', '203', '97', '232', '69']

['01-0105_mask.png', '202', '97', '232', '70']

['01-0106_mask.png', '201', '98', '230', '70']

['01-0107_mask.png', '200', '97', '230', '69']

['01-0108_mask.png', '200', '96', '229', '69']

['01-0109_mask.png', '199', '95', '228', '69']

['01-0110_mask.png', '201', '96', '229', '69']

['01-0111_mask.png', '201', '96', '230', '70']

['01-0112_mask.png', '200', '97', '229', '70']

['01-0113_mask.png', '199', '96', '227', '69']

['01-0114_mask.png', '199', '96', '227', '69']

['01-0115_mask.png', '199', '96', '227', '69']

['01-0116_mask.png', '199', '96', '227', '72']

['01-0117_mask.png', '198', '97', '226', '71']

['01-0118_mask.png', '196', '96', '224', '71']

['01-0119_mask.png', '196', '96', '225', '71']

['01-0120_mask.png', '196', '96', '224', '71']

['01-0121_mask.png', '196', '95', '225', '69']

['01-0122_mask.png', '197', '95', '226', '70']

['01-0123_mask.png', '200', '95', '226', '69']

['01-0124_mask.png', '203', '93', '229', '68']

['01-0125_mask.png', '206', '93', '232', '67']

['01-0126_mask.png', '212', '92', '238', '66']

['01-0127_mask.png', '216', '90', '242', '66']

['01-0128_mask.png', '217', '89', '245', '65']

['01-0129_mask.png', '220', '89', '248', '65']

['01-0130_mask.png', '220', '87', '248', '64']

['01-0131_mask.png', '222', '86', '250', '64']

['01-0132_mask.png', '222', '87', '250', '64']

['01-0133_mask.png', '221', '89', '249', '64']

['01-0134_mask.png', '219', '90', '247', '65']

['01-0135_mask.png', '215', '90', '243', '65']

['01-0136_mask.png', '211', '90', '244', '64']

['01-0137_mask.png', '211', '90', '242', '64']

['01-0138_mask.png', '207', '89', '238', '63']

['01-0139_mask.png', '204', '88', '235', '62']

['01-0140_mask.png', '201', '87', '232', '61']

['01-0141_mask.png', '198', '85', '228', '59']

['01-0142_mask.png', '196', '84', '226', '58']

['01-0143_mask.png', '194', '83', '225', '57']

['01-0144_mask.png', '193', '79', '224', '53']

['01-0145_mask.png', '191', '77', '223', '49']

['01-0146_mask.png', '189', '78', '224', '49']

['01-0147_mask.png', '187', '77', '224', '44']

['01-0148_mask.png', '187', '77', '225', '44']

['01-0149_mask.png', '183', '77', '226', '40']

['01-0150_mask.png', '183', '77', '227', '38']

['01-0151_mask.png', '178', '74', '222', '31']

['01-0152_mask.png', '172', '72', '221', '27']

['01-0153_mask.png', '169', '71', '217', '24']

['01-0154_mask.png', '166', '67', '215', '21']

['01-0155_mask.png', '161', '65', '210', '18']

['01-0156_mask.png', '155', '65', '206', '14']

['01-0157_mask.png', '148', '62', '199', '14']

['01-0158_mask.png', '145', '67', '198', '14']

['01-0159_mask.png', '139', '71', '194', '14']

['01-0160_mask.png', '139', '76', '194', '15']

['01-0161_mask.png', '141', '77', '200', '16']

['01-0162_mask.png', '158', '77', '221', '16']

['01-0163_mask.png', '191', '78', '254', '17']

['01-0164_mask.png', '226', '86', '289', '25']

['01-0165_mask.png', '229', '95', '311', '25']

['01-0166_mask.png', '244', '99', '324', '27']

['01-0167_mask.png', '251', '103', '329', '27']

['01-0168_mask.png', '257', '103', '334', '27']

['01-0169_mask.png', '260', '109', '345', '28']

['01-0170_mask.png', '266', '107', '344', '31']

['01-0171_mask.png', '264', '108', '341', '29']

['01-0172_mask.png', '267', '107', '342', '28']

['01-0173_mask.png', '267', '108', '342', '29']

['01-0174_mask.png', '269', '111', '344', '33']

['01-0175_mask.png', '269', '111', '344', '33']

['01-0176_mask.png', '270', '109', '345', '34']

['01-0177_mask.png', '273', '113', '345', '38']

['01-0178_mask.png', '284', '112', '346', '38']

['01-0179_mask.png', '284', '113', '346', '39']

['01-0180_mask.png', '283', '114', '348', '39']

['01-0181_mask.png', '283', '114', '348', '39']

['01-0182_mask.png', '284', '114', '349', '39']

['01-0183_mask.png', '285', '114', '350', '39']

['01-0184_mask.png', '285', '114', '350', '39']

['01-0185_mask.png', '278', '111', '346', '35']

['01-0186_mask.png', '274', '111', '346', '32']

['01-0187_mask.png', '261', '119', '340', '31']

['01-0188_mask.png', '253', '119', '338', '28']

['01-0189_mask.png', '246', '119', '332', '27']

['01-0190_mask.png', '244', '117', '330', '26']

['01-0191_mask.png', '242', '117', '328', '25']

['01-0192_mask.png', '235', '117', '323', '26']

['01-0193_mask.png', '232', '116', '322', '23']

['01-0194_mask.png', '232', '116', '322', '23']

['01-0195_mask.png', '232', '117', '322', '23']

['01-0196_mask.png', '226', '118', '319', '24']

['01-0197_mask.png', '220', '119', '316', '26']

['01-0198_mask.png', '217', '119', '312', '25']

['01-0199_mask.png', '218', '123', '313', '29']

['01-0200_mask.png', '214', '126', '312', '30']

['01-0201_mask.png', '206', '129', '307', '33']

['01-0202_mask.png', '202', '133', '303', '35']

['01-0203_mask.png', '196', '136', '298', '36']

['01-0204_mask.png', '194', '138', '295', '38']

['01-0205_mask.png', '191', '140', '294', '40']

['01-0206_mask.png', '190', '142', '294', '42']

['01-0207_mask.png', '188', '147', '292', '47']

['01-0208_mask.png', '183', '146', '288', '45']

['01-0209_mask.png', '181', '145', '286', '45']

['01-0210_mask.png', '180', '145', '284', '45']

['01-0211_mask.png', '181', '149', '286', '48']

['01-0212_mask.png', '184', '149', '286', '49']

['01-0213_mask.png', '179', '151', '282', '50']

['01-0214_mask.png', '176', '151', '279', '50']

['01-0215_mask.png', '176', '151', '277', '50']

['01-0216_mask.png', '179', '153', '280', '53']

['01-0217_mask.png', '177', '154', '278', '53']

['01-0218_mask.png', '173', '155', '274', '54']

['01-0219_mask.png', '169', '157', '270', '56']

['01-0220_mask.png', '165', '157', '266', '56']

['01-0221_mask.png', '161', '158', '262', '57']

['01-0222_mask.png', '157', '159', '259', '58']

['01-0223_mask.png', '155', '159', '257', '59']

['01-0224_mask.png', '153', '161', '255', '60']

['01-0225_mask.png', '149', '165', '251', '64']

['01-0226_mask.png', '143', '167', '245', '66']

['01-0227_mask.png', '145', '172', '247', '71']

['01-0228_mask.png', '146', '176', '250', '75']

['01-0229_mask.png', '146', '180', '250', '79']

['01-0230_mask.png', '145', '183', '249', '82']

['01-0231_mask.png', '139', '182', '244', '81']

['01-0232_mask.png', '140', '185', '244', '84']

['01-0233_mask.png', '142', '189', '247', '88']

['01-0234_mask.png', '142', '191', '248', '90']

['01-0235_mask.png', '142', '191', '247', '91']

['01-0236_mask.png', '140', '194', '245', '93']

['01-0237_mask.png', '139', '195', '244', '94']

['01-0238_mask.png', '137', '197', '240', '96']

['01-0239_mask.png', '124', '201', '224', '100']

['01-0240_mask.png', '110', '209', '204', '121']

['01-0241_mask.png', '102', '215', '191', '134']

['01-0242_mask.png', '92', '215', '167', '142']

['01-0243_mask.png', '82', '217', '147', '146']

['01-0244_mask.png', '82', '214', '139', '151']

['01-0245_mask.png', '82', '217', '136', '157']

['01-0246_mask.png', '80', '219', '135', '159']

['01-0247_mask.png', '80', '219', '132', '159']

['01-0248_mask.png', '80', '219', '132', '160']

['01-0249_mask.png', '80', '219', '132', '160']

['01-0250_mask.png', '78', '222', '130', '163']

['01-0251_mask.png', '77', '224', '128', '167']

['01-0252_mask.png', '76', '229', '122', '173']

['01-0253_mask.png', '75', '238', '121', '182']

['01-0254_mask.png', '70', '246', '117', '191']

['01-0255_mask.png', '68', '248', '109', '197']

['01-0256_mask.png', '66', '253', '99', '206']

['01-0257_mask.png', '61', '253', '90', '211']

['01-0258_mask.png', '58', '254', '86', '212']

['01-0259_mask.png', '57', '254', '77', '219']

['01-0260_mask.png', '58', '248', '72', '216']

['01-0261_mask.png', '54', '249', '69', '217']

['01-0262_mask.png', '54', '249', '66', '227']

['01-0263_mask.png', '54', '249', '66', '227']

['01-0264_mask.png', '54', '249', '66', '227']

['01-0265_mask.png', '54', '249', '66', '227']

['01-0266_mask.png', '54', '249', '66', '227']

['01-0267_mask.png', '54', '249', '66', '227']

['01-0268_mask.png', '54', '249', '66', '227']

['01-0269_mask.png', '54', '249', '66', '227']

['01-0270_mask.png', '54', '249', '66', '227']

['01-0271_mask.png', '54', '249', '66', '227']

['01-0272_mask.png', '54', '249', '66', '227']

['01-0273_mask.png', '54', '249', '66', '227']

['01-0274_mask.png', '54', '249', '66', '227']

['01-0275_mask.png', '54', '249', '66', '227']

['01-0276_mask.png', '54', '249', '66', '227']

['01-0277_mask.png', '54', '249', '66', '227']

['01-0278_mask.png', '54', '249', '66', '227']

['01-0279_mask.png', '54', '249', '66', '227']

['01-0280_mask.png', '54', '249', '66', '227']

['01-0281_mask.png', '54', '249', '66', '227']

['01-0282_mask.png', '54', '249', '66', '227']

['01-0283_mask.png', '54', '249', '66', '227']

['01-0284_mask.png', '54', '249', '66', '227']

['01-0285_mask.png', '54', '249', '66', '227']

['01-0286_mask.png', '54', '249', '66', '227']

['01-0287_mask.png', '54', '249', '66', '227']

['01-0288_mask.png', '54', '249', '66', '227']

['01-0289_mask.png', '54', '249', '66', '227']

['01-0290_mask.png', '54', '249', '66', '227']

['01-0291_mask.png', '54', '249', '66', '227']

['01-0292_mask.png', '54', '249', '66', '227']

['01-0293_mask.png', '54', '249', '66', '227']

['01-0294_mask.png', '54', '249', '66', '227']

['01-0295_mask.png', '54', '249', '66', '227']

['01-0296_mask.png', '54', '249', '66', '227']

['01-0297_mask.png', '54', '249', '66', '227']

['01-0298_mask.png', '54', '249', '66', '227']

['01-0299_mask.png', '54', '249', '66', '227']

['01-0300_mask.png', '54', '249', '66', '227']

['01-0301_mask.png', '54', '249', '66', '227']

['01-0302_mask.png', '54', '249', '66', '227']

['01-0303_mask.png', '54', '249', '66', '227']

['01-0304_mask.png', '54', '249', '66', '227']

['01-0305_mask.png', '54', '249', '66', '227']

['01-0306_mask.png', '54', '249', '66', '227']

['01-0307_mask.png', '54', '249', '66', '227']

['01-0308_mask.png', '54', '249', '66', '227']

['01-0309_mask.png', '54', '249', '66', '227']

['01-0310_mask.png', '54', '249', '66', '227']

['01-0311_mask.png', '54', '249', '66', '227']

['01-0312_mask.png', '54', '249', '66', '227']

['01-0313_mask.png', '54', '249', '66', '227']

['01-0314_mask.png', '54', '249', '66', '227']

['01-0315_mask.png', '54', '249', '66', '227']

['01-0316_mask.png', '54', '249', '66', '227']

['01-0317_mask.png', '54', '249', '66', '227']

['01-0318_mask.png', '54', '249', '66', '227']

['01-0319_mask.png', '54', '249', '66', '227']

['01-0320_mask.png', '54', '249', '66', '227']

['01-0321_mask.png', '54', '249', '66', '227']

['01-0322_mask.png', '54', '249', '66', '227']

['01-0323_mask.png', '54', '249', '66', '227']

['01-0324_mask.png', '54', '249', '66', '227']

['01-0325_mask.png', '54', '249', '66', '227']

['01-0326_mask.png', '54', '249', '66', '227']

['01-0327_mask.png', '54', '249', '66', '227']

['01-0328_mask.png', '54', '249', '66', '227']

['01-0329_mask.png', '54', '249', '66', '227']

['01-0330_mask.png', '54', '249', '66', '227']

['01-0331_mask.png', '54', '249', '66', '227']

['01-0332_mask.png', '54', '249', '66', '227']

['01-0333_mask.png', '54', '249', '66', '227']

['01-0334_mask.png', '54', '249', '66', '227']

['01-0335_mask.png', '54', '249', '66', '227']

['01-0336_mask.png', '54', '249', '66', '227']

['01-0337_mask.png', '54', '249', '66', '227']

['01-0338_mask.png', '54', '249', '66', '227']

['01-0339_mask.png', '54', '249', '66', '227']

['01-0340_mask.png', '54', '249', '66', '227']

['01-0341_mask.png', '54', '249', '66', '227']

['01-0342_mask.png', '54', '249', '66', '227']

['01-0343_mask.png', '54', '249', '66', '227']

['01-0344_mask.png', '54', '249', '66', '227']

['01-0345_mask.png', '54', '249', '66', '227']

['01-0346_mask.png', '54', '249', '66', '227']

['01-0347_mask.png', '54', '249', '66', '227']

['01-0348_mask.png', '54', '249', '66', '227']

['01-0349_mask.png', '54', '249', '66', '227']

['01-0350_mask.png', '54', '249', '66', '227']

['01-0351_mask.png', '54', '249', '66', '227']

['01-0352_mask.png', '54', '249', '66', '227']

['01-0353_mask.png', '54', '249', '66', '227']

['01-0354_mask.png', '54', '249', '66', '227']

['01-0355_mask.png', '54', '249', '66', '227']

['01-0356_mask.png', '54', '249', '66', '227']

['01-0357_mask.png', '54', '249', '66', '227']

['01-0358_mask.png', '54', '249', '66', '227']

['01-0359_mask.png', '54', '249', '66', '227']

['01-0360_mask.png', '54', '249', '66', '227']

['01-0361_mask.png', '54', '249', '66', '227']

['01-0362_mask.png', '54', '249', '66', '227']

['01-0363_mask.png', '54', '249', '66', '227']

['01-0364_mask.png', '54', '249', '66', '227']

['01-0365_mask.png', '54', '249', '66', '227']

['01-0366_mask.png', '54', '249', '66', '227']

['01-0367_mask.png', '54', '249', '66', '227']

['01-0368_mask.png', '54', '249', '66', '227']

['01-0369_mask.png', '54', '249', '66', '227']

['01-0370_mask.png', '54', '249', '66', '227']

['01-0371_mask.png', '54', '249', '66', '227']

['01-0372_mask.png', '54', '249', '66', '227']

['01-0373_mask.png', '54', '249', '66', '227']

['01-0374_mask.png', '54', '249', '66', '227']

['01-0375_mask.png', '55', '195', '61', '178']

['01-0376_mask.png', '56', '190', '65', '172']

['01-0377_mask.png', '56', '190', '76', '156']

['01-0378_mask.png', '56', '185', '94', '153']

['01-0379_mask.png', '76', '186', '117', '152']

['01-0380_mask.png', '92', '188', '130', '154']

['01-0381_mask.png', '104', '187', '150', '148']

['01-0382_mask.png', '112', '186', '155', '146']

['01-0383_mask.png', '118', '184', '159', '145']

['01-0384_mask.png', '123', '184', '164', '144']

['01-0385_mask.png', '128', '183', '171', '143']

['01-0386_mask.png', '132', '181', '176', '142']

['01-0387_mask.png', '140', '181', '185', '143']

['01-0388_mask.png', '142', '180', '192', '141']

['01-0389_mask.png', '147', '181', '196', '141']

['01-0390_mask.png', '154', '180', '203', '140']

['01-0391_mask.png', '160', '180', '206', '140']

['01-0392_mask.png', '162', '181', '207', '141']

['01-0393_mask.png', '163', '181', '208', '141']

['01-0394_mask.png', '166', '180', '211', '140']

['01-0395_mask.png', '172', '178', '218', '139']

['01-0396_mask.png', '182', '178', '226', '138']

['01-0397_mask.png', '186', '177', '233', '136']

['01-0398_mask.png', '189', '175', '236', '135']

['01-0399_mask.png', '192', '175', '240', '134']

['01-0400_mask.png', '196', '174', '244', '133']

['01-0401_mask.png', '201', '174', '248', '133']

['01-0402_mask.png', '204', '173', '251', '132']

['01-0403_mask.png', '205', '172', '252', '131']

['01-0404_mask.png', '206', '170', '254', '130']

['01-0405_mask.png', '208', '171', '255', '130']

['01-0406_mask.png', '209', '169', '256', '129']

['01-0407_mask.png', '210', '169', '256', '128']

['01-0408_mask.png', '210', '169', '256', '128']

['01-0409_mask.png', '208', '169', '253', '129']

['01-0410_mask.png', '204', '171', '249', '129']

['01-0411_mask.png', '200', '170', '246', '128']

['01-0412_mask.png', '199', '170', '245', '127']

['01-0413_mask.png', '195', '169', '244', '125']

['01-0414_mask.png', '190', '166', '242', '123']

['01-0415_mask.png', '186', '166', '238', '122']

['01-0416_mask.png', '182', '164', '236', '119']

['01-0417_mask.png', '183', '161', '237', '115']

['01-0418_mask.png', '183', '161', '237', '114']

['01-0419_mask.png', '178', '161', '234', '110']

['01-0420_mask.png', '168', '159', '229', '107']

['01-0421_mask.png', '163', '157', '224', '103']

['01-0422_mask.png', '160', '155', '223', '98']

['01-0423_mask.png', '158', '153', '222', '92']

['01-0424_mask.png', '156', '151', '221', '89']

['01-0425_mask.png', '153', '155', '222', '89']

['01-0426_mask.png', '150', '155', '221', '87']

['01-0427_mask.png', '145', '157', '218', '86']

['01-0428_mask.png', '145', '155', '224', '82']

['01-0429_mask.png', '147', '157', '232', '77']

['01-0430_mask.png', '147', '157', '237', '70']

['01-0431_mask.png', '144', '155', '236', '66']

['01-0432_mask.png', '142', '154', '236', '61']

['01-0433_mask.png', '138', '151', '236', '56']

['01-0434_mask.png', '139', '153', '242', '54']

['01-0435_mask.png', '139', '154', '242', '53']

['01-0436_mask.png', '139', '154', '242', '53']

['01-0437_mask.png', '137', '153', '242', '52']

['01-0438_mask.png', '136', '154', '241', '53']

['01-0439_mask.png', '136', '154', '240', '53']

['01-0440_mask.png', '134', '154', '239', '53']

['01-0441_mask.png', '132', '156', '237', '55']

['01-0442_mask.png', '129', '161', '233', '60']

['01-0443_mask.png', '125', '168', '222', '70']

['01-0444_mask.png', '121', '171', '213', '77']

['01-0445_mask.png', '122', '173', '213', '81']

['01-0446_mask.png', '124', '175', '214', '85']

['01-0447_mask.png', '126', '177', '215', '89']

['01-0448_mask.png', '124', '179', '211', '94']

['01-0449_mask.png', '124', '179', '208', '97']

['01-0450_mask.png', '124', '179', '204', '99']

['01-0451_mask.png', '126', '183', '206', '103']

['01-0452_mask.png', '126', '185', '204', '109']

['01-0453_mask.png', '124', '186', '201', '113']

['01-0454_mask.png', '123', '187', '198', '117']

['01-0455_mask.png', '122', '189', '194', '122']

['01-0456_mask.png', '121', '187', '191', '121']

['01-0457_mask.png', '121', '185', '187', '121']

['01-0458_mask.png', '122', '182', '188', '119']

['01-0459_mask.png', '124', '174', '189', '112']

['01-0460_mask.png', '123', '165', '187', '103']

['01-0461_mask.png', '128', '143', '190', '83']

['01-0462_mask.png', '132', '135', '192', '79']

['01-0463_mask.png', '137', '124', '191', '68']

['01-0464_mask.png', '137', '114', '184', '62']

['01-0465_mask.png', '130', '113', '177', '61']

['01-0466_mask.png', '127', '113', '169', '68']

['01-0467_mask.png', '126', '114', '164', '71']

['01-0468_mask.png', '120', '115', '159', '74']

['01-0469_mask.png', '118', '116', '156', '76']

['01-0470_mask.png', '113', '121', '152', '80']

['01-0471_mask.png', '111', '121', '145', '83']

['01-0472_mask.png', '110', '121', '142', '83']

['01-0473_mask.png', '108', '120', '139', '85']

['01-0474_mask.png', '108', '119', '138', '85']

['01-0475_mask.png', '108', '116', '138', '82']

['01-0476_mask.png', '108', '111', '138', '77']

['01-0477_mask.png', '113', '109', '142', '75']

['01-0478_mask.png', '118', '107', '147', '73']

['01-0479_mask.png', '121', '107', '150', '73']

['01-0480_mask.png', '124', '105', '153', '73']

['01-0481_mask.png', '123', '105', '153', '73']

['01-0482_mask.png', '123', '105', '153', '73']

['01-0483_mask.png', '122', '105', '152', '73']

['01-0484_mask.png', '122', '104', '152', '74']

['01-0485_mask.png', '122', '105', '152', '75']

['01-0486_mask.png', '122', '104', '152', '75']

['01-0487_mask.png', '124', '100', '154', '71']

['01-0488_mask.png', '124', '98', '154', '69']

['01-0489_mask.png', '126', '94', '155', '65']

['01-0490_mask.png', '128', '91', '157', '62']

['01-0491_mask.png', '130', '89', '157', '61']

['01-0492_mask.png', '132', '88', '158', '61']

['01-0493_mask.png', '135', '87', '160', '61']

['01-0494_mask.png', '146', '89', '172', '63']

['01-0495_mask.png', '160', '89', '185', '62']

['01-0496_mask.png', '169', '88', '194', '61']

['01-0497_mask.png', '176', '89', '202', '63']

['01-0498_mask.png', '178', '89', '204', '62']

['02-0001_mask.png', '178', '89', '204', '62']

['02-0002_mask.png', '178', '89', '204', '62']

['02-0003_mask.png', '178', '89', '204', '62']

['02-0004_mask.png', '178', '89', '204', '62']

['02-0005_mask.png', '178', '89', '204', '62']

['02-0006_mask.png', '178', '89', '204', '62']

['02-0007_mask.png', '178', '89', '204', '62']

['02-0008_mask.png', '178', '89', '204', '62']

['02-0009_mask.png', '178', '89', '204', '62']

['02-0010_mask.png', '178', '89', '204', '62']

['02-0011_mask.png', '178', '89', '204', '62']

['02-0012_mask.png', '178', '89', '204', '62']

['02-0013_mask.png', '178', '89', '204', '62']

['02-0014_mask.png', '178', '89', '204', '62']

['02-0015_mask.png', '178', '89', '204', '62']

['02-0016_mask.png', '178', '89', '204', '62']

['02-0017_mask.png', '178', '89', '204', '62']

['02-0018_mask.png', '178', '89', '204', '62']

['02-0019_mask.png', '178', '89', '204', '62']

['02-0020_mask.png', '178', '89', '204', '62']

['02-0021_mask.png', '178', '89', '204', '62']

['02-0022_mask.png', '178', '89', '204', '62']

['02-0023_mask.png', '178', '89', '204', '62']

['02-0024_mask.png', '178', '89', '204', '62']

['02-0025_mask.png', '178', '89', '204', '62']

['02-0026_mask.png', '178', '89', '204', '62']

['02-0027_mask.png', '178', '89', '204', '62']

['02-0028_mask.png', '178', '89', '204', '62']

['02-0029_mask.png', '178', '89', '204', '62']

['02-0030_mask.png', '178', '89', '204', '62']

['02-0031_mask.png', '178', '89', '204', '62']

['02-0032_mask.png', '178', '89', '204', '62']

['02-0033_mask.png', '178', '89', '204', '62']

['02-0034_mask.png', '178', '89', '204', '62']

['02-0035_mask.png', '178', '89', '204', '62']

['02-0036_mask.png', '178', '89', '204', '62']

['02-0037_mask.png', '178', '89', '204', '62']

['02-0038_mask.png', '178', '89', '204', '62']

['02-0039_mask.png', '178', '89', '204', '62']

['02-0040_mask.png', '178', '89', '204', '62']

['02-0041_mask.png', '178', '89', '204', '62']

['02-0042_mask.png', '178', '89', '204', '62']

['02-0043_mask.png', '178', '89', '204', '62']

['02-0044_mask.png', '178', '89', '204', '62']

['02-0045_mask.png', '178', '89', '204', '62']

['02-0046_mask.png', '178', '89', '204', '62']

['02-0047_mask.png', '178', '89', '204', '62']

['02-0048_mask.png', '178', '89', '204', '62']

['02-0049_mask.png', '178', '89', '204', '62']

['02-0050_mask.png', '178', '89', '204', '62']

['02-0051_mask.png', '178', '89', '204', '62']

['02-0052_mask.png', '178', '89', '204', '62']

['02-0053_mask.png', '178', '89', '204', '62']

['02-0054_mask.png', '178', '89', '204', '62']

['02-0055_mask.png', '178', '89', '204', '62']

['02-0056_mask.png', '178', '89', '204', '62']

['02-0057_mask.png', '178', '89', '204', '62']

['02-0058_mask.png', '178', '89', '204', '62']

['02-0059_mask.png', '178', '89', '204', '62']

['02-0060_mask.png', '178', '89', '204', '62']

['02-0061_mask.png', '178', '89', '204', '62']

