['1.bmp', '241', '212', '298', '177']
['176.bmp', '183', '333', '317', '220']

['177.bmp', '223', '284', '326', '193']

['178.bmp', '324', '245', '430', '158']

['179.bmp', '85', '216', '198', '129']

['18.bmp', '316', '425', '444', '277']

['180.bmp', '182', '329', '323', '210']

['181.bmp', '59', '353', '171', '242']

['182.bmp', '42', '355', '138', '255']

['183.bmp', '29', '373', '109', '284']

['184.bmp', '119', '340', '208', '253']

['185.bmp', '152', '297', '223', '244']

['186.bmp', '181', '286', '252', '220']

['187.bmp', '211', '243', '289', '177']

['188.bmp', '215', '319', '287', '252']

['189.bmp', '284', '393', '382', '286']

['19.bmp', '209', '398', '343', '227']

['190.bmp', '339', '309', '435', '226']

['191.bmp', '99', '203', '240', '103']

['192.bmp', '144', '228', '267', '131']

['193.bmp', '220', '423', '343', '312']

['194.bmp', '180', '320', '312', '210']

['195.bmp', '206', '249', '316', '163']

['196.bmp', '76', '209', '189', '123']

['197.bmp', '180', '331', '332', '206']

['198.bmp', '28', '367', '108', '286']

['199.bmp', '112', '393', '213', '299']

['2.bmp', '253', '112', '301', '78']

['20.bmp', '116', '376', '289', '158']

['200.bmp', '219', '248', '303', '181']

['201.bmp', '207', '351', '278', '289']

['202.bmp', '210', '302', '331', '200']

['203.bmp', '339', '309', '434', '219']

['204.bmp', '405', '303', '514', '239']

['205.bmp', '349', '304', '430', '262']

['206.bmp', '288', '278', '375', '233']

['207.bmp', '350', '334', '452', '289']

['208.bmp', '273', '268', '349', '232']

['209.bmp', '435', '431', '500', '380']

['21.bmp', '100', '369', '234', '173']

['210.bmp', '330', '454', '438', '384']

['211.bmp', '321', '446', '429', '373']

['212.bmp', '277', '439', '423', '334']

['213.bmp', '285', '425', '424', '325']

['214.bmp', '264', '380', '388', '293']

['215.bmp', '239', '368', '367', '280']

['216.bmp', '240', '393', '369', '286']

['217.bmp', '473', '347', '547', '203']

['218.bmp', '375', '376', '536', '222']

['219.bmp', '293', '397', '453', '264']

['22.bmp', '78', '396', '194', '219']

['220.bmp', '279', '380', '406', '269']

['221.bmp', '98', '425', '263', '322']

['222.bmp', '83', '473', '215', '345']

['223.bmp', '226', '464', '379', '372']

['224.bmp', '192', '477', '304', '410']

['225.bmp', '185', '477', '273', '427']

['226.bmp', '385', '464', '491', '282']

['227.bmp', '131', '449', '362', '138']

['228.bmp', '205', '355', '441', '59']

['229.bmp', '313', '385', '460', '162']

['23.bmp', '330', '433', '471', '283']

['230.bmp', '355', '386', '469', '203']

['231.bmp', '423', '359', '506', '237']

['232.bmp', '108', '452', '231', '310']

['233.bmp', '155', '451', '277', '281']

['234.bmp', '249', '362', '364', '205']

['235.bmp', '124', '465', '217', '359']

['236.bmp', '86', '477', '234', '313']

['237.bmp', '168', '406', '366', '168']

['238.bmp', '230', '366', '410', '147']

['239.bmp', '184', '289', '345', '123']

['24.bmp', '203', '424', '375', '233']

['240.bmp', '115', '265', '252', '109']

['241.bmp', '212', '267', '330', '145']

['242.bmp', '209', '375', '320', '257']

['243.bmp', '266', '327', '363', '215']

['244.bmp', '310', '466', '435', '383']

['245.bmp', '285', '421', '416', '315']

['246.bmp', '262', '378', '368', '293']

['247.bmp', '374', '467', '496', '359']

['248.bmp', '414', '455', '505', '311']

['249.bmp', '386', '468', '487', '308']

['25.bmp', '179', '473', '320', '379']

['250.bmp', '270', '469', '450', '235']

['251.bmp', '181', '380', '419', '67']

['252.bmp', '311', '384', '457', '163']

['253.bmp', '358', '393', '472', '205']

['254.bmp', '456', '328', '516', '250']

['255.bmp', '144', '442', '242', '319']

['256.bmp', '152', '397', '249', '287']

['257.bmp', '87', '480', '232', '313']

['258.bmp', '172', '402', '367', '172']

['259.bmp', '222', '361', '412', '149']

['26.bmp', '199', '223', '293', '143']

['260.bmp', '170', '321', '298', '153']

['261.bmp', '228', '267', '340', '140']

['262.bmp', '208', '379', '321', '252']

['263.bmp', '281', '310', '373', '205']

['264.bmp', '145', '350', '189', '228']

['265.bmp', '433', '285', '488', '181']

['266.bmp', '192', '463', '302', '330']

['267.bmp', '328', '234', '378', '173']

['268.bmp', '111', '315', '147', '200']

['269.bmp', '152', '370', '201', '225']

['27.bmp', '384', '465', '476', '389']

['270.bmp', '168', '444', '263', '186']

['271.bmp', '435', '343', '493', '227']

['272.bmp', '431', '297', '490', '187']

['273.bmp', '315', '449', '401', '335']

['274.bmp', '228', '334', '551', '149']

['275.bmp', '217', '352', '548', '175']

['276.bmp', '224', '358', '556', '173']

['277.bmp', '271', '329', '549', '154']

['278.bmp', '293', '254', '549', '130']

['279.bmp', '316', '361', '546', '200']

['28.bmp', '366', '373', '526', '148']

['280.bmp', '344', '386', '547', '220']

['281.bmp', '359', '414', '547', '246']

['282.bmp', '417', '433', '535', '327']

['283.bmp', '417', '478', '517', '368']

['284.bmp', '286', '479', '487', '363']

['285.bmp', '247', '477', '478', '329']

['286.bmp', '149', '480', '548', '305']

['287.bmp', '216', '357', '545', '168']

['288.bmp', '218', '358', '548', '178']

['289.bmp', '224', '348', '548', '170']

['29.bmp', '400', '301', '549', '86']

['290.bmp', '240', '342', '547', '195']

['291.bmp', '219', '338', '521', '204']

['292.bmp', '186', '221', '471', '13']

['293.bmp', '124', '264', '449', '115']

['294.bmp', '227', '342', '549', '152']

['295.bmp', '212', '359', '548', '173']

['296.bmp', '221', '358', '549', '168']

['297.bmp', '268', '328', '546', '157']

['298.bmp', '298', '255', '549', '138']

['299.bmp', '311', '360', '550', '203']

['3.bmp', '26', '437', '182', '310']

['30.bmp', '11', '476', '112', '347']

['300.bmp', '337', '388', '550', '222']

['31.bmp', '244', '424', '366', '295']

['32.bmp', '126', '434', '297', '237']

['33.bmp', '316', '431', '440', '281']

['34.bmp', '79', '394', '200', '205']

['35.bmp', '206', '415', '381', '228']

['36.bmp', '114', '450', '252', '273']

['37.bmp', '319', '459', '452', '299']

['38.bmp', '230', '391', '390', '217']

['39.bmp', '286', '308', '353', '234']

['4.bmp', '147', '459', '288', '361']

['40.bmp', '261', '324', '360', '209']

['41.bmp', '208', '237', '302', '138']

['42.bmp', '252', '211', '329', '121']

['43.bmp', '283', '261', '370', '148']

['44.bmp', '184', '313', '244', '248']

['45.bmp', '152', '229', '271', '105']

['46.bmp', '140', '184', '236', '91']

['47.bmp', '189', '251', '262', '160']

['48.bmp', '147', '222', '247', '122']

['49.bmp', '197', '349', '314', '220']

['5.bmp', '188', '459', '312', '370']

['50.bmp', '140', '327', '192', '263']

['51.bmp', '160', '344', '207', '283']

['52.bmp', '196', '219', '279', '120']

['53.bmp', '253', '191', '326', '114']

['54.bmp', '199', '227', '266', '140']

['55.bmp', '202', '313', '262', '245']

['56.bmp', '202', '262', '254', '193']

['57.bmp', '102', '267', '208', '144']

['58.bmp', '177', '255', '298', '127']

['59.bmp', '156', '241', '258', '124']

['6.bmp', '198', '354', '295', '279']

['60.bmp', '143', '256', '215', '163']

['61.bmp', '451', '400', '549', '260']

['62.bmp', '228', '480', '463', '244']

['63.bmp', '220', '481', '429', '246']

['64.bmp', '190', '449', '388', '219']

['65.bmp', '282', '421', '468', '200']

['66.bmp', '279', '397', '430', '212']

['67.bmp', '387', '402', '532', '244']

['68.bmp', '425', '400', '546', '258']

['69.bmp', '367', '410', '454', '280']

['7.bmp', '192', '332', '289', '256']

['70.bmp', '358', '393', '427', '300']

['71.bmp', '446', '123', '516', '28']

['72.bmp', '374', '451', '541', '239']

['73.bmp', '344', '403', '472', '240']

['74.bmp', '260', '443', '328', '326']

['75.bmp', '379', '479', '550', '240']

['76.bmp', '274', '395', '420', '219']

['77.bmp', '254', '219', '364', '141']

['78.bmp', '274', '240', '412', '166']

['79.bmp', '263', '263', '367', '201']

['8.bmp', '165', '235', '261', '161']

['80.bmp', '283', '193', '360', '137']

['81.bmp', '263', '153', '343', '108']

['82.bmp', '321', '183', '406', '137']

['83.bmp', '390', '232', '453', '185']

['84.bmp', '340', '182', '422', '131']

['85.bmp', '261', '212', '332', '162']

['86.bmp', '245', '206', '315', '158']

['87.bmp', '282', '258', '347', '208']

['88.bmp', '293', '238', '349', '195']

['89.bmp', '328', '149', '379', '107']

['9.bmp', '174', '201', '276', '122']

['90.bmp', '295', '280', '359', '230']

['91.bmp', '344', '287', '391', '247']

['92.bmp', '399', '255', '451', '214']

['93.bmp', '435', '288', '532', '216']

['94.bmp', '337', '193', '411', '141']

['95.bmp', '314', '359', '408', '286']

['96.bmp', '312', '343', '416', '260']

['97.bmp', '265', '325', '356', '247']

['98.bmp', '365', '429', '494', '251']

['99.bmp', '404', '474', '542', '243']

